NOMBRETOT,AUX_Tfno,DIR_LOCALIDAD,DIR_CP,DIR_PROVINCIA,ESTADO_2,ESTADO_1,NOMBRE1,DIR_COMPLETA,AUX_Idiomas,NOMBRE2,DIR_CALLE,TIEMPO
LABORATORIO DR. OQUIÑENA,945230178,VITORIA,01008,GASTEIZ,ANALISIS CLINICOS,ALAVA/ARABA,LABORATORIO DR. OQUIÑENA,"C/ Aranzabal, 11 Bajo, 01008 - VITORIA-GASTEIZ - ALAVA/ARABA",,,"C/ Aranzabal, 11 Bajo",2017-11-13T22:18:54.968000
LABORATORIO ECHEVARNE,945218096,VITORIA,01008,GASTEIZ,ANALISIS CLINICOS,ALAVA/ARABA,LABORATORIO ECHEVARNE,"C/ Adriano, VI 32 bajo, 01008 - VITORIA-GASTEIZ - ALAVA/ARABA",,,"C/ Adriano, VI 32 bajo",2017-11-13T22:18:55.560000
LABORATORIO EUSKALDUNA,946726505,LAUDIO/LLODIO,01400,ALAVA/ARABA,ANALISIS CLINICOS,ALAVA/ARABA,LABORATORIO EUSKALDUNA,"C/ Virgen del Carmen, 31 Bajo 3ª, 01400 - LAUDIO/LLODIO - ALAVA/ARABA",,,"C/ Virgen del Carmen, 31 Bajo 3ª",2017-11-13T22:18:56.155000
"ATARÉS PUEYO, Mª BEGOÑA (LABORATORIO DE PATOLOGÍA )",945140900,VITORIA,01008,GASTEIZ,ANATOMIA PATOLOGICA,ALAVA/ARABA,"ATARÉS PUEYO, Mª BEGOÑA (LABORATORIO DE PATOLOGÍA )","C/ Beato Tomás de Zumárraga,10 Policlínica San José, 01008 - VITORIA-GASTEIZ - ALAVA/ARABA",,"ATARÉS PUEYO, Mª BEGOÑA (LABORATORIO DE PATOLOGÍA )","C/ Beato Tomás de Zumárraga,10 Policlínica San José",2017-11-13T22:19:02.852000
"BAUTISTA RODRÍGUEZ, GONZALO (LABORATORIO DE PATOLOGÍA )",945140900,VITORIA,01008,GASTEIZ,ANATOMIA PATOLOGICA,ALAVA/ARABA,"BAUTISTA RODRÍGUEZ, GONZALO (LABORATORIO DE PATOLOGÍA )","C/ Beato Tomás de Zumárraga,10 Policlínica San José, 01008 - VITORIA-GASTEIZ - ALAVA/ARABA",,"BAUTISTA RODRÍGUEZ, GONZALO (LABORATORIO DE PATOLOGÍA )","C/ Beato Tomás de Zumárraga,10 Policlínica San José",2017-11-13T22:19:03.604000
HOSPITAL QUIRÓNSALUD VITORIA,945252500,VITORIA,01002,GASTEIZ,ANATOMIA PATOLOGICA,ALAVA/ARABA,HOSPITAL QUIRÓNSALUD VITORIA,"C/ La Esperanza, 3, 01002 - VITORIA-GASTEIZ - ALAVA/ARABA",,,"C/ La Esperanza, 3",2017-11-13T22:19:04.253000
LABORATORIO DE PATOLOGÍA,945140900,VITORIA,01008,GASTEIZ,ANATOMIA PATOLOGICA,ALAVA/ARABA,LABORATORIO DE PATOLOGÍA,"C/ Beato Tomás de Zumárraga,10 Policlínica San José, 01008 - VITORIA-GASTEIZ - ALAVA/ARABA",,,"C/ Beato Tomás de Zumárraga,10 Policlínica San José",2017-11-13T22:19:04.836000
"ALVAREZ RUBIO, MANUEL (HOSPITAL VITHAS SAN JOSÉ )",945140900,VITORIA,01008,GASTEIZ,APARATO DIGESTIVO,ALAVA/ARABA,"ALVAREZ RUBIO, MANUEL (HOSPITAL VITHAS SAN JOSÉ )","C/ Beato Tomás de Zumarraga, 10, 01008 - VITORIA-GASTEIZ - ALAVA/ARABA",,"ALVAREZ RUBIO, MANUEL (HOSPITAL VITHAS SAN JOSÉ )","C/ Beato Tomás de Zumarraga, 10",2017-11-13T22:19:22.428000
"HIJONA MURUAMENDIARAZ, LANDER (HOSPITAL QUIRÓNSALUD VITORIA )",945252500,VITORIA,01002,GASTEIZ,APARATO DIGESTIVO,ALAVA/ARABA,"HIJONA MURUAMENDIARAZ, LANDER (HOSPITAL QUIRÓNSALUD VITORIA )","C/ La Esperanza, 3, 01002 - VITORIA-GASTEIZ - ALAVA/ARABA",,"HIJONA MURUAMENDIARAZ, LANDER (HOSPITAL QUIRÓNSALUD VITORIA )","C/ La Esperanza, 3",2017-11-13T22:19:23.078000
HOSPITAL QUIRÓNSALUD VITORIA,945252500,VITORIA,01002,GASTEIZ,APARATO DIGESTIVO,ALAVA/ARABA,HOSPITAL QUIRÓNSALUD VITORIA,"C/ La Esperanza, 3, 01002 - VITORIA-GASTEIZ - ALAVA/ARABA",,,"C/ La Esperanza, 3",2017-11-13T22:19:23.713000
